,album_id,track_id
68,7gGcnUEEQgIMV2JRwVQbrF,0Yb0L5qlyMDyAZor9d57iS
69,7gGcnUEEQgIMV2JRwVQbrF,4T5cqerbDXueYSVfXkIITo
70,5c4w6MzJSWLnFjocjp9QAj,7pZsJo9EVCNQgoIAZDuBNM
71,14IOe7ahxQPTwUYUQX3IFi,6BtC99zhdbWXPGgEOXTTvw
72,3HHp5I6Q6SEyU5bkvoCtnV,1f5cbQtDrykjarZVrShaDI
73,7gGcnUEEQgIMV2JRwVQbrF,2PdCTziyEDd7cdPzz2xIQz
74,4pGwe5BW8GVtIP8ruoa1jB,78RIER8V6EhrqVPOBi2GYa
75,5jNDWA19BJbE24x1UUJGRY,1TfqLAPs4K3s2rJMoCokcS
76,1bsLkHcWAGUao6Z1dHOEIB,2iR4oHXi5qsb17b0KHVpon
77,3dBP2puQPizgs5HdCxBo6f,36nTD6zQ5mHJNCl2cD86dI
78,7gJ4byYIgNadqYyieb0f51,1UrOlREn6gX91Ep8YVSdOM
79,41dgVRqbhDM1LglWEsqPHO,6krsFbvirm5IucER5CsnAl
80,1AJzEn7qQlNfheoRp2tXQN,2LGC6TlEDX9Ij5sgdeVNzL
81,1CvjjpvqVMoyprsf74bpYW,1KGi9sZVMeszgZOWivFpxs
82,6jWde94ln40epKIQCd8XUh,2DlHlPMa4M17kufBvI2lEN
83,2SIaQf1NRVarE8HDX5j8zG,5mfA2CBzQeGiTk9wFItCsS
84,2SIaQf1NRVarE8HDX5j8zG,3fXx53m03IKoS5bRq3Xfq7
85,53Zf2P5pfFDHcbvdQOMPuU,1jxgqnVFmEgDeCKugdSDYh
86,53Zf2P5pfFDHcbvdQOMPuU,2QEcRKWlfT9mEiCovjEiDW
87,53Zf2P5pfFDHcbvdQOMPuU,1LfsLFszcXgK4SLZxaomgG
88,53Zf2P5pfFDHcbvdQOMPuU,2aJJ2Rmx0BIZ1EOkBm94BP
89,53Zf2P5pfFDHcbvdQOMPuU,447SMSaU5NOVlXoHlvsrqM
90,2gidE8vgVOkYufANjuvj3S,1HwpWwa6bnqqRhK8agG4RS
91,7gGcnUEEQgIMV2JRwVQbrF,5zF2zGPkL6Ipsn9AfAK6RP
92,7gGcnUEEQgIMV2JRwVQbrF,5s5t0OFg9lIlBFaCI14K1i
93,5CckFaoqRIxuG950VLoTc9,663IA3cyAPf0961ygnMa6D
94,33NZyoi0RPJOQOcqYpWBa8,6rr1Wc55DVIUaPQi7H3bP3
95,3mfPJnioxRAoV5gz49Vj2V,62xYhdnR0jYZE9iRU0Wv9e
96,10BngwMbchdQ5W3LN4tFuk,22v9ZVkWWAYjderL7ZWuuH
97,1t5eMcZmuPuL28AYU7zQSA,59yvXUFVjsaZQsDs09T7eA
98,36i3fUi7xuuE0UA8pXtdxK,2WZyfujzMweFLnozyUJBkW
99,5VvCD7gVffRgdPfExxLfF4,17aDyX39gb1iV1ZWvD1ffE
