,album_id,album_img,album_link,album_name,album_type,release_date,total_tracks
39,78EicdHZr5XBWD7llEZ1Jh,https://i.scdn.co/image/13e7cea6399eaaf6cc7ead76e9582f8a9e37dbff,https://open.spotify.com/album/78EicdHZr5XBWD7llEZ1Jh,Happier,single,2018-08-17,1
40,1V9oE8bVilClrk5naqyyvL,https://i.scdn.co/image/f106fef8fa58a0b6c28f9fefb16c990a620f8337,https://open.spotify.com/album/1V9oE8bVilClrk5naqyyvL,Dancing With A Stranger (with Normani),single,2019-01-11,1
41,6tkjU4Umpo79wwkgPMV3nZ,https://i.scdn.co/image/0653b51eb20f46816c1f525da6e0696a6e7262ad,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,album,2018-12-10,17
42,7dQ734EW0iLvQfF6vBFNiZ,https://i.scdn.co/image/f3420e21041cf842dca37865ce02585c790a0f63,https://open.spotify.com/album/7dQ734EW0iLvQfF6vBFNiZ,FRIENDS KEEP SECRETS,album,2018-12-07,7
43,4xVAKfdoqtrlwl9m7REmdL,https://i.scdn.co/image/85e614d88ff4690e83cd87d2340377b0d1bc6b0a,https://open.spotify.com/album/4xVAKfdoqtrlwl9m7REmdL,KILL THIS LOVE,single,2019-04-04,5
44,6a2c06GAsKigzV53VyzBXk,https://i.scdn.co/image/25ef9a53b826bb1d2185b424e3513cb88035ed9a,https://open.spotify.com/album/6a2c06GAsKigzV53VyzBXk,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),single,2019-02-15,1
45,6NHS3hV16MZyfcp0nSHdrd,https://i.scdn.co/image/f6125b6314fd4cf4874926d8b9ed9562eb00c469,https://open.spotify.com/album/6NHS3hV16MZyfcp0nSHdrd,Here With Me,single,2019-03-08,1
46,6jKZplJpy21R5lHaYHHjmZ,https://i.scdn.co/image/7cda55af5e6189d18ebc7963671bd57d6271441c,https://open.spotify.com/album/6jKZplJpy21R5lHaYHHjmZ,Narrated For You,album,2018-11-16,12
47,0MbXjBEw6FrGtcglqEDHpb,https://i.scdn.co/image/48694621a9076cd01db63b306b65b4f7e890825e,https://open.spotify.com/album/0MbXjBEw6FrGtcglqEDHpb,MONOPOLY,single,2019-04-01,1
48,7jV7IRYpTLmTJe7uZXZCZh,https://i.scdn.co/image/e1614a2a8fdabad5c2431e86ebfe904f7b1e738e,https://open.spotify.com/album/7jV7IRYpTLmTJe7uZXZCZh,That's A Rack,single,2019-04-09,1
49,2gZmrByp6yiyePHi3dzZ1d,https://i.scdn.co/image/083303ee703e5501ca36185592360e33157ce396,https://open.spotify.com/album/2gZmrByp6yiyePHi3dzZ1d,Famous Cryp,album,2018-12-18,10
