,artist_id,artist_image,artist_link,artist_name
50,64KEffDW9EtZ1y2vBYgq8T,https://i.scdn.co/image/65f40b9a99ebb96921d5366537cdff7d5661d914,https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T,Marshmello
51,7EQ0qTo7fWT7DPxmxtSYEc,https://i.scdn.co/image/51e9fa0ec4b5aa86398893360acbf14d9bdca88e,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,Bastille
52,2wY79sveU1sp5g7SokKOiI,https://i.scdn.co/image/98002cecae206555effa44097f609f823b9e0d14,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,Sam Smith
53,2cWZOOzeOm4WmBJRnD5R7I,https://i.scdn.co/image/2a826a5b51ece85734774c231926665f396f2560,https://open.spotify.com/artist/2cWZOOzeOm4WmBJRnD5R7I,Normani
55,5CiGnKThu5ctn9pBxv7DGa,https://i.scdn.co/image/4fbb93866c895d1b5c1a6a9a6c03ee248512f669,https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa,benny blanco
58,41MozSoPIsD1dJM0CLPjZF,https://i.scdn.co/image/254b0e0fc1d4cf39de56960ed983c1ff7e3dff00,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,BLACKPINK
59,0EeQBlQJFiAfJeVN2vT9s0,https://i.scdn.co/image/2a53f9d4a36e958d54797aae6aee9645b547c9fd,https://open.spotify.com/artist/0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle
60,757aE44tKEUQEqRuT6GnEB,https://i.scdn.co/image/cacfcccde261a5cbe6470e924ecbd3a735cc906e,https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB,Roddy Ricch
61,6q3p11nP1p80Ey6LrOOSed,https://i.scdn.co/image/b56a393e7305eb381654640838745de40ea9227e,https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed,Hit-Boy
63,3CjlHNtplJyTf9npxaPl5w,https://i.scdn.co/image/e6c530da12f920f3b8d2d57be7782f9d49af16c3,https://open.spotify.com/artist/3CjlHNtplJyTf9npxaPl5w,CHVRCHES
64,5IH6FPUwQTxPSXurCrcIov,https://i.scdn.co/image/d239633b152a3b0cf4e0b3e07a7befbbc9df82d4,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov,Alec Benjamin
66,63XBtGSEZINSyXylZxEUbv,https://i.scdn.co/image/3d18dd0db87b106fb825aea71f5f4fba4ba7a0b2,https://open.spotify.com/artist/63XBtGSEZINSyXylZxEUbv,Victoria Monét
68,3Fl1V19tmjt57oBdxXKAjJ,https://i.scdn.co/image/083303ee703e5501ca36185592360e33157ce396,https://open.spotify.com/artist/3Fl1V19tmjt57oBdxXKAjJ,Blueface
